2018-11-24 08:04:11 install libselinux1:armhf <none> 2.4-3build2
2018-11-24 08:04:11 status half-installed libselinux1:armhf 2.4-3build2
2018-11-24 08:04:11 status unpacked libselinux1:armhf 2.4-3build2
2018-11-24 08:04:11 status unpacked libselinux1:armhf 2.4-3build2
2018-11-24 08:04:11 install libsemanage-common:all <none> 2.3-1build3
2018-11-24 08:04:11 status half-installed libsemanage-common:all 2.3-1build3
2018-11-24 08:04:11 status unpacked libsemanage-common:all 2.3-1build3
2018-11-24 08:04:11 status unpacked libsemanage-common:all 2.3-1build3
2018-11-24 08:04:11 install libsemanage1:armhf <none> 2.3-1build3
2018-11-24 08:04:11 status half-installed libsemanage1:armhf 2.3-1build3
2018-11-24 08:04:11 status unpacked libsemanage1:armhf 2.3-1build3
2018-11-24 08:04:11 status unpacked libsemanage1:armhf 2.3-1build3
2018-11-24 08:04:11 install libsepol1:armhf <none> 2.4-2
2018-11-24 08:04:11 status half-installed libsepol1:armhf 2.4-2
2018-11-24 08:04:11 status unpacked libsepol1:armhf 2.4-2
2018-11-24 08:04:11 status unpacked libsepol1:armhf 2.4-2
2018-11-24 08:04:11 install libsmartcols1:armhf <none> 2.27.1-6ubuntu3
2018-11-24 08:04:11 status half-installed libsmartcols1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:11 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:11 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:11 install libss2:armhf <none> 1.42.13-1ubuntu1
2018-11-24 08:04:11 status half-installed libss2:armhf 1.42.13-1ubuntu1
2018-11-24 08:04:11 status unpacked libss2:armhf 1.42.13-1ubuntu1
2018-11-24 08:04:11 status unpacked libss2:armhf 1.42.13-1ubuntu1
2018-11-24 08:04:11 install libsystemd0:armhf <none> 229-4ubuntu4
2018-11-24 08:04:11 status half-installed libsystemd0:armhf 229-4ubuntu4
2018-11-24 08:04:11 status unpacked libsystemd0:armhf 229-4ubuntu4
2018-11-24 08:04:11 status unpacked libsystemd0:armhf 229-4ubuntu4
2018-11-24 08:04:11 install libtinfo5:armhf <none> 6.0+20160213-1ubuntu1
2018-11-24 08:04:11 status half-installed libtinfo5:armhf 6.0+20160213-1ubuntu1
2018-11-24 08:04:11 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2018-11-24 08:04:11 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2018-11-24 08:04:11 install libudev1:armhf <none> 229-4ubuntu4
